item,freq,relfreq
"無い",40012628,3876.48808
"良い",23168541,2244.60570
"多い",5201264,503.90686
"高い",3842021,372.22121
"凄い",3808164,368.94108
"悪い",2931564,284.01466
"欲しい",2915248,282.43394
"可愛い",2889953,279.98332
"大きい",2620629,253.89077
"早い",2524026,244.53172
"強い",2443039,236.68557
"楽しい",2352333,227.89782
"面白い",2237056,216.72960
"少ない",2134232,206.76785
"長い",2045016,198.12446
"嬉しい",1943713,188.31006
"美味しい",1850715,179.30026
"旨い",1812886,175.63533
"新しい",1615145,156.47786
"難しい",1287354,124.72094
"怖い",1198511,116.11368
"小さい",1193935,115.67035
"優しい",1190811,115.36769
"深い",1130584,109.53281
"美しい",1045860,101.32461
"若い",1032858,100.06495
"近い",1023291,99.13809
"素晴らしい",994961,96.39343
"安い",993739,96.27504
"軽い",918023,88.93955
"痛い",907240,87.89488
"酷い",889574,86.18337
"辛い",851029,82.44907
"低い",849792,82.32922
"久しい",769047,74.50652
"詳しい",746243,72.29723
"広い",744847,72.16198
"寒い",725280,70.26630
"甘い",719186,69.67590
"可笑しい",709675,68.75446
"厳しい",687314,66.58809
"遅い",680918,65.96844
"重い",665770,64.50087
"白い",616382,59.71608
"激しい",600471,58.17460
"弱い",588894,57.05300
"古い",584798,56.65618
"温かい",575428,55.74839
"正しい",571908,55.40737
"明るい",561608,54.40949
"暑い",554715,53.74169
"仕方無い",551061,53.38768
"薄い",546098,52.90686
"短い",541251,52.43727
"忙しい",537038,52.02911
"赤い",504126,48.84054
"物凄い",497592,48.20752
"恥ずかしい",493174,47.77949
"熱い",491608,47.62778
"やばい",482105,46.70711
"珍しい",479527,46.45735
"寂しい",478705,46.37771
"固い",458198,44.39096
"悲しい",440541,42.68032
"遠い",434665,42.11105
"細かい",429156,41.57733
"きつい",422523,40.93471
"狭い",380194,36.83381
"でかい",375155,36.34562
"懐かしい",373801,36.21445
"黒い",370156,35.86131
"暗い",360682,34.94346
"偉い",350728,33.97910
"めでたい",348422,33.75569
"濃い",346977,33.61569
"細い",330498,32.01918
"有り難い",323530,31.34411
"冷たい",312391,30.26495
"柔らかい",306821,29.72531
"苦しい",290492,28.14333
"青い",273471,26.49431
"恐ろしい",273089,26.45730
"怪しい",271933,26.34531
"羨ましい",250369,24.25615
"幅広い",249078,24.13108
"厚い",248879,24.11180
"煩い",243418,23.58273
"悔しい",234804,22.74819
"太い",234550,22.72358
"危ない",233428,22.61488
"不味い",231574,22.43526
"眠い",220963,21.40725
"切ない",209943,20.33962
"宜しい",203801,19.74457
"可愛らしい",203526,19.71793
"心地良い",189933,18.40102
"涼しい",183278,17.75627
"エロい",181510,17.58498
"汚い",178304,17.27438
"大人しい",177733,17.21906
"幼い",168507,16.32523
"丸い",166797,16.15956
"素早い",162101,15.70461
"うざい",161899,15.68504
"臭い",161327,15.62962
"相応しい",160772,15.57585
"浅い",149628,14.49620
"鋭い",138230,13.39195
"緩い",136467,13.22114
"力強い",132090,12.79709
"しんどい",128369,12.43660
"きもい",127910,12.39213
"情けない",126183,12.22481
"しつこい",125680,12.17608
"惜しい",121346,11.75620
"軟らかい",120498,11.67404
"さり気無い",110246,10.68081
"黄色い",107928,10.45624
"賢い",105828,10.25279
"程良い",103235,10.00157
"凄まじい",98164,9.51029
"淡い",91970,8.91020
"痒い",84568,8.19308
"怠い",83407,8.08060
"等しい",83244,8.06481
"著しい",83047,8.04573
"親しい",82644,8.00668
"眩しい",79787,7.72989
"嫌らしい",78274,7.58331
"渋い",78227,7.57876
"危うい",76952,7.45523
"荒い",74240,7.19249
"空しい",73960,7.16536
"鈍い",73187,7.09047
"貧しい",72488,7.02275
"愛しい",67241,6.51442
"乏しい",66432,6.43604
"望ましい",66189,6.41250
"限り無い",63780,6.17911
"逞しい",60185,5.83082
"微笑ましい",58951,5.71127
"醜い",58517,5.66922
"重たい",57678,5.58794
"ややこしい",57036,5.52574
"苦い",55863,5.41210
"ださい",54664,5.29594
"愛らしい",53240,5.15798
"分厚い",52598,5.09578
"奥深い",52478,5.08415
"鬱陶しい",51424,4.98204
"脆い",48568,4.70535
"好ましい",48378,4.68694
"薄暗い",48196,4.66931
"香ばしい",47648,4.61622
"憎い",47473,4.59926
"儚い",47325,4.58492
"狡い",47097,4.56283
"清々しい",45793,4.43650
"めんどい",45271,4.38593
"しょぼい",44238,4.28585
"程遠い",43007,4.16659
"瑞々しい",41397,4.01061
"慌ただしい",40256,3.90007
"馬鹿馬鹿しい",39699,3.84610
"心強い",39538,3.83051
"頼もしい",39527,3.82944
"粗い",39088,3.78691
"ごつい",38675,3.74690
"生々しい",38178,3.69875
"温い",37799,3.66203
"潔い",37738,3.65612
"気まずい",37607,3.64343
"快い",37116,3.59586
"待ち遠しい",36654,3.55110
"いとおしい",35812,3.46952
"尊い",35367,3.42641
"痛々しい",35230,3.41314
"もどかしい",34974,3.38834
"若々しい",33965,3.29058
"恋しい",33905,3.28477
"酸っぱい",33678,3.26278
"拙い",32957,3.19293
"細長い",32597,3.15805
"悪しい",32396,3.13858
"疎い",31953,3.09566
"根強い",31704,3.07153
"安っぽい",31688,3.06998
"呆気ない",31339,3.03617
"極まりない",31128,3.01573
"くどい",30669,2.97126
"頼り無い",30338,2.93919
"蒸し暑い",30328,2.93823
"険しい",30320,2.93745
"肌寒い",28969,2.80656
"息苦しい",28673,2.77789
"四角い",28497,2.76084
"みっともない",27718,2.68536
"容易い",27705,2.68411
"だらし無い",27627,2.67655
"ぎこちない",27221,2.63721
"茶色い",27148,2.63014
"甘酸っぱい",26057,2.52444
"騒がしい",25548,2.47513
"誇らしい",25435,2.46418
"止む無い",25150,2.43657
"煩わしい",25067,2.42853
"初々しい",24832,2.40576
"見苦しい",24617,2.38493
"清い",24359,2.35994
"麗しい",23651,2.29135
"しょっぱい",23304,2.25773
"図々しい",23075,2.23554
"眠たい",22721,2.20125
"せこい",21764,2.10853
"疑わしい",21475,2.08053
"素っ気ない",21327,2.06619
"懐こい",21149,2.04895
"手早い",21113,2.04546
"腹立たしい",21038,2.03820
"名高い",21007,2.03519
"喜ばしい",20558,1.99169
"平たい",20496,1.98569
"悩ましい",20180,1.95507
"木目細かい",20082,1.94558
"力無い",19982,1.93589
"目新しい",19959,1.93366
"凛々しい",19448,1.88415
"厳い",19162,1.85645
"目まぐるしい",19106,1.85102
"荒々しい",19063,1.84685
"粘り強い",18994,1.84017
"甚だしい",18809,1.82225
"擽ったい",18684,1.81014
"手強い",18552,1.79735
"喧しい",18487,1.79105
"弱々しい",17995,1.74338
"輝かしい",17958,1.73980
"際どい",17491,1.69456
"熱苦しい",17417,1.68739
"目覚ましい",17370,1.68283
"眩い",16944,1.64156
"紛らわしい",16506,1.59913
"後ろめたい",16390,1.58789
"青白い",16319,1.58101
"芳しい",16068,1.55669
"疾い",16043,1.55427
"手厚い",15726,1.52356
"えぐい",15718,1.52279
"心細い",15377,1.48975
"薄っぺらい",15368,1.48888
"卑しい",15291,1.48142
"敢え無い",15281,1.48045
"恨めしい",15253,1.47774
"甲高い",15176,1.47028
"味気無い",15144,1.46718
"腑甲斐無い",15061,1.45913
"グロい",15026,1.45574
"生温かい",14988,1.45206
"惜しみ無い",14959,1.44925
"しぶとい",14944,1.44780
"気怠い",14835,1.43724
"あどけない",14658,1.42009
"手軽い",14542,1.40885
"程近い",14530,1.40769
"歯痒い",14331,1.38841
"思しい",13855,1.34229
"ぼろい",13842,1.34104
"堅苦しい",13734,1.33057
"惨い",13379,1.29618
"名残惜しい",13235,1.28223
"重苦しい",13198,1.27864
"揺るぎない",13131,1.27215
"悍ましい",13090,1.26818
"小高い",12952,1.25481
"易しい",12856,1.24551
"恐れ多い",12664,1.22691
