suffix,prev,word,next,sentence
さ,っこ,良さ,をわ,自分のかっこ良さをわざと隠すということ？
さ,,長さ,んの,社長さんの車種と色は？
さ,手が,寒さ,で震,手が寒さで震えたは、少しオーバーですみません。
さ,する,楽しさ,さ。,良い所：様々なコンボで自由に敵を料理する楽しさ。
み,理に,深み,を与,味も濃厚で、炒め物、スープなど中華料理に深みを与えます。
み,えに,深み,がで,道具としての実需がないから品揃えに深みがでない。
さ,)、,高さ,5ｍ,直径23m(下段)及び18m(上段)、高さ5ｍの二段式の円墳である。
み,ぐに,痛み,など,薬を飲み始めると、すぐに痛みなどの症状はとれてきますが、すぐに潰瘍がなおるわけではありません。
み,痔が,痛み,ます,最近、以前からある痔が痛みます。
さ,クの,高さ,も産,訴訟リスクの高さも産科医にのしかかる。
さ,面の,高さ,を調,調節レバーを上に上げると座面の高さを調節できます。
さ,プや,狭さ,く）,車の速度を落とす装置（ハンプや狭さく）について、意見があったら書いてください。
さ,識の,無さ,やう,ネット上のマナーやら常識の無さやうんちゃらかんちゃらにうんざりしっぱなしです。
み,腰の,痛み,から,腰の痛みから足が鉛のように重く引きずるように歩いていました。
さ,最も,寒さ,が厳,大寒：１年で最も寒さが厳しくなる日ですが、春がもうすぐ間近に迫っているとも言えます。
さ,りの,長さ,。,赤道における経度1度当たりの長さ。
み,,楽しみ,みい,お楽しみいただけましたら、ポチっと１票お願いいたします！
み,れて,凹み,気味,お友達ブロガーさんがブログ閉鎖を決心されて凹み気味です。
さ,の有,難さ,を実,動けるようになると健康の有難さを実感しますよね。
み,うに,痛み,ます,ここが差し込むように痛みます。
み,うに,痛み,ます,ここが締めつけられるように痛みます。
さ,い物,憂さ,に、,そして、どうすることも出来ない物憂さに、ふっとため息をつく。
さ,ない,物憂さ,さに,そして、どうすることも出来ない物憂さに、ふっとため息をつく。
さ,のは,優しさ,さで,だが、組み手で手を出さないのは優しさではない！！
さ,とか,無さ,そう,「宝くじでも買う？」「俺、ギャンブル運とか無さそうだしなぁ」
さ,いう,細さ,の繊,マイクロファイバークロスは、髪の毛の１００分の１という細さの繊維で編みあげられたクロスです。
み,芋の,臭み,を最,最新のバイオ技術によって、芋の臭みを最小限に抑え、非常に飲みやすい「芋焼酎」です。
み,をお,楽しみ,みく,落ち着いた雰囲気のサロンでゆったりとした時間をお楽しみください。
さ,道も,無さ,そう,蜘蛛の巣とか一杯だったけど、他に道も無さそうだったので意を決して入っていきました。
さ,きな,明るさ,さを,照明はツマミ一つで光量を変えられるようになっていて好きな明るさを演出出来るようになっている。
さ,理の,粗さ,を気,少し気になる…まで含めると７０％を越える方が毛穴や肌理の粗さを気にしています。
さ,は、,高さ,１メ,行く手を阻んだものは、高さ１メートル足らずの石壁でした。
さ,具で,寒さ,対策,乾燥した空気のせいで痛んだノドや鼻の粘膜は、風邪のウイルスが入り込みやすくなってしまいます。暖房器具で寒さ対策、加湿器で乾燥対策をしっかり行なうことが肝要です。
み,輩の,親しみ,みを,一子ちゃんは同じ穴のムジナか、同輩の親しみを込めた笑みを俺に向ける。
み,と、,面白み,みが,まあ、それは渡っていけば分かることだ。あまり最初からネタバレしていると、面白みが無いからな。
み,、面,白み,が無,まあ、それは渡っていけば分かることだ。あまり最初からネタバレしていると、面白みが無いからな。
さ,ンの,大きさ,さの,その運河は１５０、０００重量トンの大きさの船を収容できる。
さ,この,暑さ,に１,この暑さに１０マイルもてくてく歩くのはたまらない。
み,事の,面白み,みは,この仕事の面白みは、常に技術が進化しているので、刺激を受け続けられることですね。
み,の面,白み,は、,この仕事の面白みは、常に技術が進化しているので、刺激を受け続けられることですね。
さ,力の,弱さ,は人,この校閲力の弱さは人手が足らないとしか考えられませんね。
さ,で懐,柔さ,れる,い、いっつも食べ物で懐柔されるとは、限りませんからねっ。
さ,癖の,悪さ,には,あの女性の男癖の悪さにはあきれて物が言えない。
さ,体の,大きさ,さは,４月に孵化した雛も５ヶ月になった。身体の大きさは親鳥とほぼ同じ、オス鳥のとさかが少し小さいぐらいか。
さ,い、,大きさ,さ比,「や、それほどでも。せいぜい、大きさ比べたり、わい談するくらいだし」「大きさって何の？」「ナニの」
さ,は尊,重さ,れな,論じるまでもなく基本的人権は尊重されなければならない。
さ,いた,わりなさ,なさ,老人をいたわりなさい。
み,とを,楽しみ,みに,老いも若きも、また男女を問わず、地元の浴場で一緒になることを楽しみにしていた。
み,か、,楽しみ,みで,労働はただ単に必要なものであるばかりか、楽しみでもある。
み,恋は,悲しみ,みに,恋は悲しみに満ちた病であり、あらゆる治療をも薬をも受け付けない。
み,は「,悲しみ,み」,例えば、「喜び」の反対語は「悲しみ」です。
さ,,良さ,そう,良さそうにみえる馬でも時には弱ることもある。
み,その,悲しみ,みや,両親の喜びは外に現れない。その悲しみや不安もまたしかり。
み,事も,楽しみ,みに,立派な目的があれば、つらい仕事も楽しみになる。
さ,前の,静けさ,さだ,嵐の前の静けさだった。
さ,嵐の,激しさ,さに,嵐の激しさに子供たちは恐れおののいた。
さ,卵は,大きさ,さと,卵は大きさと重さによって選別された。
さ,さと,重さ,によ,卵は大きさと重さによって選別された。
み,のを,楽しみ,みに,来週お会いするのを楽しみにしています。
さ,欲の,深さ,が彼,欲の深さが彼を没落させた。
さ,汗と,苦しさ,さか,踊り子の優雅さは懸命な練習、汗と苦しさから生まれるのです。
さ,用心,深さ,は勇,用心深さは勇気の大半である。
さ,,心深さ,さは,用心深さは勇気の大半である。
さ,横と,深さ,をか,容積を計算するためには縦と横と深さをかければよい。
み,とが,楽しみ,みで,野球をすることが楽しみです。
さ,夜の,静けさ,さの,夜の静けさの中にいると、平和で安らいだ気持ちになる。
さ,夜の,静けさ,さが,夜の静けさが私たちを慰めてくれる。
さ,みの,重さ,でた,木は果実のみの重さでたわんだ。
さ,烈な,暑さ,だ。,猛烈な暑さだ。
み,一の,楽しみ,みで,模型飛行機を作ることが彼の唯一の楽しみです。
さ,夏の,暑さ,を我,名古屋の夏の暑さを我慢できますか。
さ,ドの,重さ,だっ,娘は生れた時８ポンドの重さだった。
さ,味な,静けさ,さが,無気味な静けさが彼らの心胆を寒からしめた。
み,何の,痛み,も感,妙な話だが、私は何の痛みも感じなかった。
み,のを,楽しみ,みに,毎年春になると、庭に出るのを楽しみにしている。
さ,には,若さ,と夢,妹には若さと夢があります。
み,のを,楽しみ,みに,僕は動物園へ行くのを楽しみに待っているんだ。
み,日を,楽しみ,みに,僕は五年ぶりで彼に会える日を楽しみに待っていた。
さ,背の,高さ,だ。,僕はトムと同じくらいの背の高さだ。
み,のを,楽しみ,みに,僕はこの夏休みに数人の友達と、伊豆半島を歩いて一周するのを楽しみにしています。
さ,には,寒さ,がひ,僕には寒さがひどくこたえる。
